Year,Month,Variable,US,Canada,Venezuela,Colombia,Argentina,Brazil,Panama_Chile,So_Central_America,Netherlands,Germany,United_Kingdom,Switzerland,Rest_Europe,Caribbean_General,Trinidad_Tobago,Netherlands_Antilles,Rest_world,Italy,Peru,Suriname ,Ecuador,Dominican_Republic,Scandinavia,Japan,Total
1994,1,A,30059,3465,4273,2284,1875,2645,123,219,2578,859,157,143,401,278,44,1400,156,479,260,68,37,109,50,10,51972
1994,2,A,30500,2687,5023,900,1515,2694,92,174,2839,570,149,84,592,261,51,2065,125,206,232,94,27,152,36,6,51074
1994,3,A,28509,2381,7502,1285,738,1515,26,160,1900,931,131,57,392,242,60,1779,116,123,221,116,32,99,36,23,48374
1994,4,A,31725,2609,4501,1461,543,1593,50,215,2205,653,147,92,465,287,97,2275,77,111,131,113,24,129,41,8,49552
1994,5,A,24727,1417,3618,1176,470,1470,45,218,2401,595,134,98,354,251,46,2142,119,66,303,67,167,85,18,9,39996
1994,6,A,20836,809,5846,1986,539,1926,62,241,1973,459,118,47,288,270,127,2093,141,86,203,103,11,85,37,14,38300
1994,7,A,25237,1030,4176,2857,1827,3596,77,329,4166,559,177,70,474,256,141,4493,179,135,494,78,28,110,34,23,50546
1994,8,A,24046,869,10309,1940,938,1757,47,368,2921,531,165,36,577,248,148,2229,196,472,260,110,26,121,21,30,48365
1994,9,A,21613,968,10587,1246,841,3446,74,281,2245,559,167,92,409,191,101,2380,164,92,236,194,71,103,44,10,46114
1994,10,A,30176,1661,5357,1760,893,3250,47,309,2935,761,173,107,624,186,48,2838,172,137,263,112,104,113,64,18,52108
1994,11,A,29350,2138,5722,1918,950,2614,32,300,2940,964,167,145,763,169,37,1956,112,146,268,96,26,81,58,18,50970
1994,12,A,27559,3560,8291,2755,716,3146,26,381,3138,815,146,122,475,189,44,2356,129,221,320,136,61,140,20,19,54765
1994,1,N,230846,32185,23286,18674,13747,15626,794,1314,37104,10096,1269,1653,4155,2736,289,6515,1684,3754,1643,983,152,1163,420,49,410137
1994,2,N,228413,25108,25832,7524,10696,16040,618,1019,36042,6454,1327,883,4804,2100,245,10253,933,1362,1253,908,243,1545,327,37,383966
1994,3,N,196278,20557,41544,9817,4400,8456,182,944,21568,10870,938,740,3195,1556,587,6782,910,1008,1165,1226,226,871,286,103,334209
1994,4,N,218754,22835,21269,10207,3354,9193,448,1226,24348,7492,1049,907,4172,2441,620,9095,617,747,832,1156,181,1082,248,43,342316
1994,5,N,166254,12067,17866,10408,3045,8736,372,1367,27277,7186,1218,934,3203,2253,283,8478,1116,487,1904,681,590,1032,110,32,276899
1994,6,N,142575,6826,26637,20026,4734,10646,376,1547,26906,5695,1376,418,2757,2603,1052,8530,1743,766,1273,800,144,1603,546,49,269628
1994,7,N,176186,9381,30405,23817,14207,22577,637,2332,60337,7302,1897,765,5371,2442,1487,25393,1709,1088,4373,784,252,1572,224,94,394632
1994,8,N,161366,7921,77271,14036,6985,10856,309,2125,31484,6138,1619,311,4594,2451,1173,9746,1510,3145,1826,1592,216,1233,131,102,348140
1994,9,N,143178,8499,67773,9751,5600,21123,466,1678,26863,6943,1394,946,3732,1644,987,8919,1897,589,1404,2238,530,833,372,42,317401
1994,10,N,215673,14017,24057,11386,5758,20212,255,1745,32824,9287,1572,1155,5487,1224,298,11832,1701,948,1473,980,608,841,453,63,363849
1994,11,N,207329,18837,23083,13714,5885,14619,179,1467,31985,11443,1440,1201,6392,1086,227,7467,1514,1355,1525,942,158,933,670,51,353502
1994,12,N,209050,32105,50121,29964,5286,21253,147,2657,47440,9494,1755,1412,5149,1968,439,10493,1228,1553,2630,1823,435,2298,286,75,439061
1995,1,A,31580,3981,4916,2870,2288,4099,62,255,2517,814,147,116,518,145,52,1550,123,274,206,77,44,76,38,12,56760
1995,2,A,31404,3410,5680,1269,1478,3046,97,202,2673,721,121,78,566,178,32,1661,143,132,233,106,33,112,23,12,53410
1995,3,A,30805,3724,5316,1782,497,1659,37,161,2293,571,143,51,345,172,42,2005,181,83,207,102,56,97,53,17,50399
1995,4,A,29157,2251,11054,2462,351,1800,27,248,2151,723,141,100,591,192,69,3237,144,77,186,149,22,98,44,24,55298
1995,5,A,26211,1481,5703,1464,214,1250,73,179,2237,552,186,82,286,172,44,1928,120,54,301,57,35,86,17,12,42744
1995,6,A,22963,858,5339,2290,382,1576,104,190,2202,389,171,57,318,237,47,2056,147,81,182,65,36,148,35,12,39885
1995,7,A,24289,1135,6705,3667,1074,5145,108,274,4699,399,201,64,541,319,82,4145,133,100,470,100,44,105,32,29,53860
1995,8,A,24637,1201,12890,2425,462,1294,57,173,2999,371,188,54,602,280,52,2097,180,382,207,158,84,156,16,35,51000
1995,9,A,24156,1239,12583,1362,470,2707,123,179,2773,623,198,93,402,273,55,2165,140,110,186,151,89,81,22,30,50210
1995,10,A,32362,1672,6013,1960,584,2424,84,296,3182,623,161,134,550,216,30,2895,163,125,235,84,207,89,55,40,54184
